displayName,address,lng,lat,type
"睦鄰家庭服務中心(碩門邨)","香港沙田安麗街11號企業中心18樓07-08室",114.207564,22.3897386,"Food-Co Service Point"
"香港長者協會","香港深水埗區長沙灣麗閣邨麗蘭樓301室",114.15599280000004,22.333157,"Food-Co Service Point"
"香港基督教女青年會深水埗綜合社會服務處","九龍深水埗區元洲元州街59-63號元州街市政大廈5樓",114.16332344723877,22.33201426077757,"Food-Co Service Point"
"香港基督教會宣道堂睦愛中心","香港大角咀福全街17號福康大樓2字樓",114.16488270000002,22.3204965,"Food-Co Service Point"
"石籬民生動力","九龍葵青區石籬石梨街15號石籬(二)邨石廣樓地下C 1樓",114.14086291897968,22.366936582278946,"Food-Co Service Point"
"石籬松柏權益促進會 ","新界葵青區石籬村石廣樓地下C 翼1號",114.14083800000003,22.366933,"Food-Co Service Point"
"香港基督教女青年會誌寶松柏中心","九龍深水埗元州街59-63號元州街市政大廈4樓",114.16332680000005,22.3320124,"Food-Co Service Point"
"竹園區神召會坑口堂","香港西貢區坑口文曲里2號",114.26526434281618,22.313323805982094,"Food-Co Service Point"
"海麗之友社","九龍深水埗區長沙灣深旺道100號海麗邨海健樓地下10號",114.14667580000003,22.3322608,"Food-Co Service Point"
"關懷愛滋","香港油麻地庇利金街14-20號富利商業大廈3樓",114.17125688482406,22.303804644617614,"Food-Co Service Point"
"深水埗婦女聯合會","九龍深水埗區基隆街298-302號大德樓5字樓A室",114.16058650000002,22.3301773,"Food-Co Service Point"
"麗怡之友","九龍深水埗東京街12號麗閣邨麗荷樓",114.15761399999997,22.3336108,"Food-Co Service Point"
"香港小童群益會美孚青少年綜合服務中心","香港荔枝角美荔道33號4-5樓",114.14132999999993,22.337568,"Food-Co Service Point"
"香港基督教新生會何文田堂長者鄰舍中心","九龍九龍城區採石山常盛街18號何文田邨景文樓",114.18104540000002,22.3182095,"Food-Co Service Point"
"香港基督教新生會新田圍堂長者鄰舍中心","新界沙田區大圍沙田頭路新田圍邨豐圍樓114-117室地下",114.1865722,22.3703919,"Food-Co Service Point"
"何文田居民協進會","九龍城區何文田邨逸文樓地下8室",114.1824977,22.315905,"Food-Co Service Point"
"明愛莫張瑞勤社區中心","香港中西區西環和合街6-12號國基大廈地下G號舖",114.13409999999999,22.2859795,"Food-Co Service Point"
"香港單親協會慧妍雅集活動及資源中心","九龍深水埗石硤尾大坑東邨東滿樓地下1-7號",114.17129219999993,22.3307344,"Food-Co Service Point"
"聖公會聖安堂","九龍深水埗長沙灣海麗街3號聖安德烈小學內",114.14744380000002,22.3306715,"Food-Co Service Point"
"浸信會愛羣社會服務處自力更生綜合就業援助計劃","香港旺角上海街473-475號上海中心1樓",114.16861362317354,22.31598877095998,"Food-Co Service Point"
"愛心飯團","香港太子基隆街64號",114.16617147186548,22.325746227582943,"Food-Co Service Point"
"幸福邨居民服務促進會","長沙灣幸福邨福月樓地下9號室",114.15373569999997,22.3352468,"Food-Co Service Point"
"澤安邨居民服務中心","九龍深水埗大窩坪澤安道1號澤安邨富澤樓地下13A",114.16420900000003,22.339657,"Food-Co Service Point"
"關注學童發展權利聯席(關學聯)","九龍旺角塘尾道66-68號福強工業大廈B座10樓4室",114.16573770000002,22.3222258,"Food-Co Service Point"
"鄭裕彤敬老中心","香港紅磡黃埔街黃埔花園八期黃埔廣場後座M樓",114.19112808564455,22.30511271419668,"Food-Co Service Point"
"蘇屋邨居民協會","香港深水埗長沙灣蘇屋邨牡丹樓地下",114.15745140000001,22.3418989,"Food-Co Service Point"
"牽晴計劃","香港深水埗荔枝角道420號麗安邨1座麗德樓",114.15819055894167,22.33105950538165,"Food-Co Service Point"
"聖雅各福群會 - 社區中心服務(東區)","香港筲箕灣興民街68號海天廣場2樓206室",114.22444489999998,22.28078229999999,"Food-Co Service Point"
"香港聖公會九龍城青少年綜合服務中心","香港九龍城晴朗商場（A區）A205",114.20291989999998,22.3315397,"Food-Co Service Point"
"新生精神康復會竹園綜合培訓中心","香港竹園竹園道15號竹園南邨麗園樓",114.19441400000005,22.346711,"Food-Co Service Point"
"香港聾人協進會","香港牛池灣紫葳路9號彩虹邨紫薇樓地下109, 111-118號",114.20745200970919,22.333972232074764,"Food-Co Service Point"
"聖雅各福群會露宿者綜合服務","香港西環西安里10號福祥閣",114.13856559755321,22.286877673107025,"Food-Co Service Point"
"膳心小館Agape Garden","Cheerful Court Block B, 55 Choi Ha Rd, Ngau Tau Kok, Hong Kong",114.21655020000003,22.325572,"Food-Co Service Point"
"香港防止虐待長者協會","22 Salisbury Rd, Tsim Sha Tsui, Hong Kong",114.17225910000002,22.2955269,"Food-Co Service Point"
"香港戒毒會東九龍社會服務中心","香港鶴園馬頭圍道37-39號紅磡商業中心A座",114.18778259999999,22.31025439999999,"Food-Co Service Point"
"明愛基層組織發展計劃","香港大坑東社區中心",114.1704428897217,22.33047397546686,"Food-Co Service Point"
"中國基督教播道會觀塘福音堂","香港雲漢街77-79號地下",114.22579245403676,22.31765762693365,"Food-Co Service Point"
"聖公會聖匠堂社區中心(紅磡)","紅磡戴亞街1號",114.18772704461367,22.307210819383894,"Food-Co Service Point"
"香港中華基督教青年會佐敦會所","九龍尖沙咀柯士甸道西1號1樓101室",114.16275567868502,22.304569261350732,"Food-Co Service Point"
"Oxfam Hong Kong","香港北角馬寶道28號華匯中心",114.20055639080734,22.291772014799196,"Food-Co Service Point"
"基督教信心恩典教會","Unit B, 3/F, Gee Lok Industrial Building, 34 Hung To Rd, Kwun Tong, Hong Kong",114.22024614671021,22.312109790871016,"Food-Co Service Point"
"鄰舍輔導會 - 白田康樂家","香港白田白田街51號白田邨澤田樓地下3室(敬請預約)",114.168345,22.336966,"Food-Co Service Point"
"香港九龍塘基督教中華宣道會石籬堂","Rm A, 2/F, Shek Lei Shopping Centre, Shek Lei, 香港",114.13847976695682,22.365041491594475,"Food-Co Service Point"
"基督教福臨教會","九龍油麻地廟街47-57號正康大廈一字樓",114.17028128958397,22.31052816895225,"Food-Co Service Point"
"家寧社會服務中心","香港紅磡新柳街5號地下",114.18708907738493,22.312389968003348,"Food-Co Service Point"
"基督教華富邨潮人生命堂","香港瀑布灣瀑布灣道8號香港華富邨華明樓125-134室",114.134883,22.25169,"Food-Co Service Point"
"香港神託會(沙田)","香港沙田小瀝源路 沙角邨美雁樓1-18號地下",114.1950712,22.3788565,"Food-Co Service Point"
"中國基督徒傳道會中基堂","牛頭角定安街安泰大樓地下",114.215023,22.318965,"Food-Co Service Point"
"深中樂Teen會","香港李鄭屋發祥街10號李鄭屋邨仁愛樓地下101室",114.1592071161583,22.338951514075873,"Food-Co Service Point"
" 浸信會愛羣社會服務處 CARE學院","香港太子荔枝角道168號萬盛閣",114.16454471209794,22.325710250928598,"Food-Co Service Point"
"神召會梨木樹堂","香港梨木樹和宜合道梨木樹邨榮樹平台神召會麥嘉倫紀念幼稚園內",114.13611061433106,22.377412767120124,"Food-Co Service Point"
"希望枝子 Branches of Hope ","Vine Centre 2, 29 Burrows St, Wan Chai, Hong Kong",114.1764004,22.2762164,"Food-Co Service Point"
"基督教尖沙咀潮人生命堂生命培育資源中心","九龍尖沙咀寶勒巷25號8樓",114.1750901,22.2986577,"Food-Co Service Point"
"香港小童群益會樂翠相投建社區","香港長沙灣荔枝角道608號麗翠苑麗柏閣地下",114.1549397216156,22.333659625479918,"Food-Co Service Point"
"基督教會活石堂（香港堂）","香港柴灣利眾街24號東貿廣場19樓B室",114.2363793,22.2655985,"Food-Co Service Point"
"恩磐愛鄰舍中心有限公司","九龍大坑東棠蔭街七號",114.170659,22.329353,"Food-Co Service Point"
"Elderly Integrated Home Safety Projects","Room 105, 1/F, No. 85 Stone Nullah Lane, Wan Chai, Hong Kong",114.17381710866242,22.27331344442319,"Food-Co Service Point"
"鄰舍輔導會樂活石硤尾地區支援網絡計劃","九龍深水埗石硤尾邨美禧樓3樓平台",114.1672228977993,22.331963846543033,"Food-Co Service Point"
"citylab","香港長沙灣長沙灣道681號貿易廣場8樓811室",114.1533525,22.3368672,"Food-Co Service Point"
